iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
74188,208916.41,5.06,9.07,-0.84,-169.12,67.21,18.57,6.96,4.05,-1.52
74240,223810.44,3.27,10.03,-0.42,-201.42,22.35,21.08,7.58,4.01,-1.59
74312,212084.14,-172.45,143.00,26.23,105.82,-93.46,-38.79,2.80,4.98,-5.31
74599,212084.13,-150.65,153.06,60.88,72.83,-120.21,-39.35,2.89,4.94,-5.84
74874,212084.13,-152.84,151.19,46.63,65.09,-119.10,-36.55,2.87,4.97,-5.76
75127,212084.13,-178.05,186.21,73.74,94.92,-103.25,-48.03,2.61,4.51,-6.40
75153,212084.13,-185.55,173.50,71.80,105.42,-97.92,-58.51,2.47,4.46,-6.01
75154,212084.13,-194.84,133.40,80.31,111.34,-75.91,-63.62,2.48,4.71,-5.38
77366,212980.09,34.33,-15.05,46.91,-4.36,73.34,-147.68,5.10,4.08,-2.54
77789,212084.13,-145.72,126.27,84.37,105.16,-105.19,-78.12,2.74,4.69,-6.63
77812,212084.13,-135.06,114.57,108.10,117.93,-98.53,-75.58,2.64,4.74,-6.53
78006,212084.13,-181.07,137.12,109.08,108.81,-90.86,-75.64,2.54,4.60,-6.14
78082,212084.13,-147.23,125.13,74.04,112.46,-97.87,-64.48,2.86,4.86,-6.50
78291,212084.13,-174.43,171.31,69.28,94.80,-104.79,-52.17,2.54,4.57,-6.65
78568,212084.13,-133.33,138.00,185.53,95.81,-71.82,-57.84,2.65,4.77,-5.82
78575,212084.13,-170.54,113.88,170.89,114.14,-73.98,-56.72,2.40,4.81,-5.88
80989,220549.54,3.55,9.61,-1.39,-192.95,40.49,34.42,7.05,4.03,-1.53
81247,212084.14,-168.72,136.32,22.14,90.13,-91.88,-36.11,3.00,4.97,-5.23
81445,212084.13,-168.87,161.27,42.75,81.33,-119.79,-49.73,2.71,4.79,-5.70
81676,212084.13,-171.88,152.87,92.39,108.55,-88.77,-67.59,2.59,4.60,-5.93
81691,212084.13,-186.01,154.70,106.12,107.29,-79.87,-75.55,2.59,4.60,-6.22
81695,212084.13,-176.09,178.38,77.17,94.74,-98.39,-50.42,2.53,4.51,-6.65
82094,212084.13,-117.58,109.04,147.19,97.90,-99.96,-75.08,2.68,4.86,-5.49
82124,212084.13,-165.77,124.43,165.89,117.85,-77.08,-64.37,2.41,4.65,-5.98
85648,173400.48,-5.83,-9.50,-0.45,196.77,-88.80,-3.71,6.48,4.06,-1.51
86151,212084.13,-131.16,77.68,199.45,114.43,-74.76,-69.88,2.19,4.52,-5.11
90060,212084.13,-132.22,118.31,85.86,71.64,-121.05,-94.42,2.92,4.99,-5.09
93549,212084.13,-97.40,92.22,199.85,85.81,-80.05,-77.06,2.55,4.85,-4.82
93599,212084.13,-140.41,94.12,196.79,113.15,-68.28,-66.80,2.27,4.59,-5.44
97037,88623.92,-1.84,10.23,-0.55,-185.87,-101.24,6.22,6.72,4.10,-1.50
97939,212084.13,-144.25,119.75,181.05,110.50,-78.75,-67.16,2.54,4.65,-5.98
97947,212084.13,-131.46,120.29,119.98,114.63,-98.07,-74.52,2.66,4.67,-5.61
