iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
92802.000,212084.128,-141.998,201.092,-252.759,17.316,7.514,23.768,108.576,154818.266,0.001
92837.000,212084.128,-44.991,115.132,-90.625,151.183,-60.328,5.376,2589.641,141950.641,0.000
92985.000,212084.128,-179.746,164.472,-50.999,142.306,-14.416,13.015,980.392,89560.164,0.000
93048.000,212084.128,-143.673,163.941,-40.943,164.113,-16.282,19.338,908.289,79699.094,0.000
93060.000,212084.128,-164.321,109.656,-100.579,87.108,1.559,35.075,285.752,201641.828,0.000
93074.000,212084.142,-19.075,98.673,-84.501,181.291,-73.678,62.800,4536.748,157745.469,0.001
93253.000,212084.128,-423.348,158.779,-36.510,96.245,16.819,45.385,319.755,30567.242,0.000
93256.000,212084.128,-454.089,156.439,-30.252,92.298,11.634,42.707,352.902,28914.332,0.000
93305.000,212084.128,-408.228,171.156,-20.109,101.741,12.516,38.993,405.001,32580.689,0.000
93345.000,212084.128,-781.533,85.524,-121.164,50.388,8.201,38.022,117.164,24597.410,0.000
93356.000,212084.128,-570.728,105.130,-34.438,86.723,7.207,42.215,183.743,22894.145,0.000
93444.000,213234.261,-480.115,229.718,-53.014,104.170,32.167,51.256,204030.158,10341.720,0.000
93480.000,212084.128,-509.114,182.073,-24.237,96.346,26.814,38.654,361.311,21469.418,0.000
93511.000,212084.155,-275.765,104.015,7.680,123.409,21.845,42.373,605.221,213921.812,0.000
93514.000,212084.128,-448.857,169.672,-31.619,93.519,12.154,40.560,386.333,29281.318,0.000
93710.000,212084.128,-561.124,55.700,-21.140,76.664,15.226,51.327,97.729,30813.234,0.000
95629.000,214225.827,26.134,40.013,-4.639,-67.870,26.322,7.439,15603.077,689538.688,0.004
95760.000,212241.548,-21.262,21.561,-27.829,31.851,-53.236,6.729,24213.437,668988.688,0.004
95795.000,213923.255,-34.280,81.219,-2.977,-21.802,-32.422,-26.723,8137.131,448315.094,0.005
95805.000,212544.397,31.429,22.617,-7.904,-28.409,46.584,9.519,22425.830,783006.500,0.004
95863.000,213769.565,-3.240,-65.311,8.674,26.119,32.822,16.539,12857.094,372043.000,0.004
95889.000,221291.798,27.249,-23.426,-44.453,13.646,-8.473,98.146,14344.379,532851.125,0.005
95913.000,212103.636,151.094,-71.738,-13.300,-39.616,35.813,-9.733,1296.524,189299.234,0.004
95914.000,212084.142,116.989,56.155,38.535,-28.532,4.886,-41.139,1959.267,325940.406,0.001
96036.000,212424.293,-28.557,35.787,-21.028,-1.370,-49.945,-27.540,19546.350,666133.062,0.004
96109.000,212451.014,-12.709,-0.708,-13.915,77.426,-51.400,17.672,96530.187,720392.500,0.004
96887.000,212084.128,-217.278,159.524,-21.176,142.171,16.337,24.011,1108.579,92108.602,0.000
96928.000,212084.128,-415.309,194.767,-66.196,94.334,0.896,35.420,377.340,66341.695,0.000
